,Location,Range,Row,variable,value
77,Location 2,8,3,pH,7.2046401746351725
78,Location 2,9,3,pH,6.6929399918351535
79,Location 2,10,3,pH,6.574140638974281
80,Location 2,1,4,pH,7.18152856176859
81,Location 2,2,4,pH,6.734106004007363
82,Location 2,3,4,pH,7.28509102983812
83,Location 2,4,4,pH,6.771577898269789
84,Location 2,5,4,pH,6.007971739055708
85,Location 2,6,4,pH,6.762798392919687
86,Location 2,7,4,pH,6.955607403243994
87,Location 2,8,4,pH,6.7872097602491905
88,Location 2,9,4,pH,6.941004963743528
89,Location 2,10,4,pH,7.088436744356636
90,Location 2,1,5,pH,6.484908535101261
91,Location 2,2,5,pH,6.793928505303169
92,Location 2,3,5,pH,6.535387387277343
93,Location 2,4,5,pH,6.642152107805711
94,Location 2,5,5,pH,6.644886857013078
95,Location 2,6,5,pH,6.396340662050092
96,Location 2,7,5,pH,6.647265925200321
97,Location 2,8,5,pH,6.39421588693096
98,Location 2,9,5,pH,6.707676821210101
99,Location 2,10,5,pH,6.718561629669458
100,Location 3,1,1,pH,6.611755541241795
101,Location 3,2,1,pH,7.468293416409578
102,Location 3,3,1,pH,6.306686134261126
103,Location 3,4,1,pH,6.979325953591231
104,Location 3,5,1,pH,6.354187021083247
105,Location 3,6,1,pH,7.157195593630151
106,Location 3,7,1,pH,6.291218798432115
107,Location 3,8,1,pH,7.081311054155655
108,Location 3,9,1,pH,6.73787249069186
109,Location 3,10,1,pH,6.227232444748975
110,Location 3,1,2,pH,6.904534587531834
111,Location 3,2,2,pH,7.0830778827558785
112,Location 3,3,2,pH,6.172071428610606
113,Location 3,4,2,pH,6.923901389223561
114,Location 3,5,2,pH,6.007837167325098
115,Location 3,6,2,pH,6.549364410481032
116,Location 3,7,2,pH,6.887206968356199
117,Location 3,8,2,pH,6.6250607158869474
118,Location 3,9,2,pH,6.896887874769041
119,Location 3,10,2,pH,6.372338381556013
120,Location 3,1,3,pH,6.71023307624562
121,Location 3,2,3,pH,6.662962925457714
122,Location 3,3,3,pH,6.758492354664477
123,Location 3,4,3,pH,6.476570212729045
124,Location 3,5,3,pH,6.671322076625833
125,Location 3,6,3,pH,6.943987985038072
126,Location 3,7,3,pH,6.224450549945473
127,Location 3,8,3,pH,7.1196403633999426
128,Location 3,9,3,pH,6.7873736406265675
129,Location 3,10,3,pH,6.346639250844197
130,Location 3,1,4,pH,5.890770580711777
131,Location 3,2,4,pH,6.820285359348678
132,Location 3,3,4,pH,6.935761727034339
133,Location 3,4,4,pH,6.489262351670352
134,Location 3,5,4,pH,6.430939243332441
135,Location 3,6,4,pH,6.706426676000877
136,Location 3,7,4,pH,6.579515034397349
137,Location 3,8,4,pH,6.8666326877254775
138,Location 3,9,4,pH,6.631171642405198
139,Location 3,10,4,pH,7.195445808060914
140,Location 3,1,5,pH,6.526823488092935
141,Location 3,2,5,pH,6.612546649831793
142,Location 3,3,5,pH,6.756960516615412
143,Location 3,4,5,pH,5.953551590311465
144,Location 3,5,5,pH,6.5909463149527205
145,Location 3,6,5,pH,6.492315316771443
146,Location 3,7,5,pH,6.506081472060065
147,Location 3,8,5,pH,6.611780255853997
148,Location 3,9,5,pH,6.166091612983693
149,Location 3,10,5,pH,6.925046083485468
150,Location 4,1,1,pH,7.2002072155253645
151,Location 4,2,1,pH,7.081743471032304
152,Location 4,3,1,pH,6.849850337421416
153,Location 4,4,1,pH,6.383336825424528
154,Location 4,5,1,pH,7.138205994105329
155,Location 4,6,1,pH,7.246969325047983
156,Location 4,7,1,pH,7.349957677281754
157,Location 4,8,1,pH,6.757159896723185
158,Location 4,9,1,pH,5.966769034613932
159,Location 4,10,1,pH,7.113785916914796
160,Location 4,1,2,pH,6.8626641551638325
161,Location 4,2,2,pH,7.1718336977010155
162,Location 4,3,2,pH,6.070718144220675
163,Location 4,4,2,pH,6.667583060641415
164,Location 4,5,2,pH,6.852125317320839
165,Location 4,6,2,pH,6.300367325694965
166,Location 4,7,2,pH,6.426436107705216
167,Location 4,8,2,pH,6.6635569949515725
168,Location 4,9,2,pH,6.975466642227656
169,Location 4,10,2,pH,6.323433521927063
170,Location 4,1,3,pH,6.797198085325053
171,Location 4,2,3,pH,6.57253943554776
172,Location 4,3,3,pH,6.706615252924803
173,Location 4,4,3,pH,6.678744554595284
174,Location 4,5,3,pH,6.300988263878629
175,Location 4,6,3,pH,6.657620816189454
176,Location 4,7,3,pH,6.555257542466454
177,Location 4,8,3,pH,6.820185071837048
178,Location 4,9,3,pH,7.299506474838562
179,Location 4,10,3,pH,6.756448726831799
180,Location 4,1,4,pH,6.809260603997588
181,Location 4,2,4,pH,6.546480689240688
182,Location 4,3,4,pH,6.723491685252636
183,Location 4,4,4,pH,6.293570448387621
184,Location 4,5,4,pH,6.716711917238272
185,Location 4,6,4,pH,7.104539702173548
186,Location 4,7,4,pH,6.356040951758126
187,Location 4,8,4,pH,7.2432901560776415
188,Location 4,9,4,pH,6.891769815387261
189,Location 4,10,4,pH,6.676409077036823
190,Location 4,1,5,pH,6.911831900524574
191,Location 4,2,5,pH,6.543699272848462
192,Location 4,3,5,pH,6.80866024134417
193,Location 4,4,5,pH,6.592685342209929
194,Location 4,5,5,pH,7.37641791107925
195,Location 4,6,5,pH,7.3447752074406045
196,Location 4,7,5,pH,6.695811205043797
197,Location 4,8,5,pH,7.3517338377248596
198,Location 4,9,5,pH,6.139007229096998
199,Location 4,10,5,pH,6.553083270587316
200,Location 5,1,1,pH,6.946247358343901
201,Location 5,2,1,pH,7.080296772861614
202,Location 5,3,1,pH,6.195843087620645
203,Location 5,4,1,pH,6.710497107246549
204,Location 5,5,1,pH,6.636085215462947
205,Location 5,6,1,pH,7.046452598995212
206,Location 5,7,1,pH,6.250853357984305
207,Location 5,8,1,pH,6.736826315383531
208,Location 5,9,1,pH,6.280488708705671
209,Location 5,10,1,pH,6.828960790830694
210,Location 5,1,2,pH,6.535351016594613
211,Location 5,2,2,pH,6.3735551617752915
212,Location 5,3,2,pH,6.290305449675953
213,Location 5,4,2,pH,6.870246867622209
214,Location 5,5,2,pH,6.918087607194631
215,Location 5,6,2,pH,6.020013173187635
216,Location 5,7,2,pH,6.700521187155714
217,Location 5,8,2,pH,6.616399418639366
218,Location 5,9,2,pH,6.8513856626728655
219,Location 5,10,2,pH,7.331116014941581
220,Location 5,1,3,pH,6.408780151724539
221,Location 5,2,3,pH,6.659858799029049
222,Location 5,3,3,pH,7.35722363476708
223,Location 5,4,3,pH,7.201535441826192
224,Location 5,5,3,pH,6.330337959788856
225,Location 5,6,3,pH,6.660282379258603
226,Location 5,7,3,pH,7.125803920376052
227,Location 5,8,3,pH,7.127277369223745
228,Location 5,9,3,pH,6.8647830239920955
229,Location 5,10,3,pH,7.079693323412806
230,Location 5,1,4,pH,7.06542045751593
231,Location 5,2,4,pH,7.075410546860923
232,Location 5,3,4,pH,6.776692305837269
233,Location 5,4,4,pH,7.039883039547204
234,Location 5,5,4,pH,6.662139229773036
235,Location 5,6,4,pH,6.866585534847414
236,Location 5,7,4,pH,6.536594395310396
237,Location 5,8,4,pH,6.420728428034946
238,Location 5,9,4,pH,6.976945727972362
239,Location 5,10,4,pH,6.41085745980907
240,Location 5,1,5,pH,7.081437903371449
241,Location 5,2,5,pH,6.047205741588238
242,Location 5,3,5,pH,6.915612770031422
243,Location 5,4,5,pH,6.868709124531127
244,Location 5,5,5,pH,6.378648879017303
245,Location 5,6,5,pH,6.84955313179376
246,Location 5,7,5,pH,6.59650152025264
247,Location 5,8,5,pH,7.0373738909421295
248,Location 5,9,5,pH,6.3702640743464976
249,Location 5,10,5,pH,6.743449289686716
250,Location 1,1,1,B_pH,6.961896857572121
251,Location 1,2,1,B_pH,6.60722525256108
252,Location 1,3,1,B_pH,6.6619651733282605
253,Location 1,4,1,B_pH,6.632830074973013
254,Location 1,5,1,B_pH,6.695736771434323
255,Location 1,6,1,B_pH,6.841647283311723
256,Location 1,7,1,B_pH,6.788352211755041
257,Location 1,8,1,B_pH,6.79526339150479
258,Location 1,9,1,B_pH,6.67212516020476
259,Location 1,10,1,B_pH,6.734725798262949
260,Location 1,1,2,B_pH,6.797023274869156
261,Location 1,2,2,B_pH,6.795713572183356
262,Location 1,3,2,B_pH,6.742995526029289
263,Location 1,4,2,B_pH,6.895279051415589
264,Location 1,5,2,B_pH,6.885803251361407
265,Location 1,6,2,B_pH,6.806116923049227
266,Location 1,7,2,B_pH,6.699416839119311
267,Location 1,8,2,B_pH,6.689524040917472
268,Location 1,9,2,B_pH,6.682221064977612
269,Location 1,10,2,B_pH,6.586883624553352
270,Location 1,1,3,B_pH,6.66104353265608
271,Location 1,2,3,B_pH,6.705783007060108
272,Location 1,3,3,B_pH,6.635822109352235
273,Location 1,4,3,B_pH,6.59659039364129
274,Location 1,5,3,B_pH,6.812588186268675
275,Location 1,6,3,B_pH,6.566635119690974
276,Location 1,7,3,B_pH,6.551095505078895
277,Location 1,8,3,B_pH,6.715029374333011
278,Location 1,9,3,B_pH,6.663221218098664
279,Location 1,10,3,B_pH,6.766781854034325
280,Location 1,1,4,B_pH,6.854613814954504
281,Location 1,2,4,B_pH,6.682522483401086
282,Location 1,3,4,B_pH,6.757326122895051
283,Location 1,4,4,B_pH,6.733441449901522
284,Location 1,5,4,B_pH,6.777907646109982
285,Location 1,6,4,B_pH,6.727297633453807
286,Location 1,7,4,B_pH,6.7496551574357495
287,Location 1,8,4,B_pH,6.6391334273655325
288,Location 1,9,4,B_pH,6.619260510922336
289,Location 1,10,4,B_pH,6.490455782417805
290,Location 1,1,5,B_pH,6.645923945140377
291,Location 1,2,5,B_pH,6.595887303587913
292,Location 1,3,5,B_pH,6.773599106406237
293,Location 1,4,5,B_pH,6.568364486209471
294,Location 1,5,5,B_pH,6.655172033213685
295,Location 1,6,5,B_pH,6.773245838939346
296,Location 1,7,5,B_pH,6.893588151871395
297,Location 1,8,5,B_pH,6.784177669381361
298,Location 1,9,5,B_pH,6.720289740040963
299,Location 1,10,5,B_pH,6.89098609659551
300,Location 2,1,1,B_pH,6.7523328337285955
301,Location 2,2,1,B_pH,6.8587153151751235
302,Location 2,3,1,B_pH,6.550373452478452
303,Location 2,4,1,B_pH,6.78956193873779
304,Location 2,5,1,B_pH,6.630554493020174
305,Location 2,6,1,B_pH,6.706077366120544
306,Location 2,7,1,B_pH,6.573888558409
307,Location 2,8,1,B_pH,6.6705415289997605
308,Location 2,9,1,B_pH,6.746440672900415
309,Location 2,10,1,B_pH,6.647110293301733
310,Location 2,1,2,B_pH,6.810505639862765
311,Location 2,2,2,B_pH,6.802064865760298
312,Location 2,3,2,B_pH,6.61173139932972
313,Location 2,4,2,B_pH,6.841533437866425
314,Location 2,5,2,B_pH,6.702468543441898
315,Location 2,6,2,B_pH,6.699178000893904
316,Location 2,7,2,B_pH,6.8460705317169825
317,Location 2,8,2,B_pH,6.856388254567836
318,Location 2,9,2,B_pH,6.6303173959810024
319,Location 2,10,2,B_pH,6.547012548885533
320,Location 2,1,3,B_pH,6.718410241920221
321,Location 2,2,3,B_pH,6.782163983685571
322,Location 2,3,3,B_pH,6.713862563904751
323,Location 2,4,3,B_pH,6.726074935742709
324,Location 2,5,3,B_pH,6.803274855780268
325,Location 2,6,3,B_pH,6.637773650121702
326,Location 2,7,3,B_pH,6.762340110604312
327,Location 2,8,3,B_pH,6.54269402271153
328,Location 2,9,3,B_pH,6.6570758405067165
329,Location 2,10,3,B_pH,6.7904650519379794
330,Location 2,1,4,B_pH,6.802627110658094
331,Location 2,2,4,B_pH,6.745670845411669
332,Location 2,3,4,B_pH,6.584353200476881
333,Location 2,4,4,B_pH,6.735121906675197
334,Location 2,5,4,B_pH,6.530134965832893
335,Location 2,6,4,B_pH,6.803704908936275
336,Location 2,7,4,B_pH,6.6534280998821815
337,Location 2,8,4,B_pH,7.017854803422281
338,Location 2,9,4,B_pH,6.633555149481007
339,Location 2,10,4,B_pH,6.727194547631475
340,Location 2,1,5,B_pH,6.852274540604254
341,Location 2,2,5,B_pH,6.598799005335407
342,Location 2,3,5,B_pH,6.700634306988592
343,Location 2,4,5,B_pH,6.704052749672253
344,Location 2,5,5,B_pH,6.753273848785994
345,Location 2,6,5,B_pH,6.578483575517516
346,Location 2,7,5,B_pH,6.754922477018881
347,Location 2,8,5,B_pH,6.7077914028945225
348,Location 2,9,5,B_pH,6.6728802620615575
349,Location 2,10,5,B_pH,6.614019839639704
350,Location 3,1,1,B_pH,6.754365721241562
351,Location 3,2,1,B_pH,6.693216200306745
352,Location 3,3,1,B_pH,6.453754233340285
353,Location 3,4,1,B_pH,6.757952128225108
354,Location 3,5,1,B_pH,6.772022750111397
355,Location 3,6,1,B_pH,6.693122449079707
356,Location 3,7,1,B_pH,6.753396973915648
357,Location 3,8,1,B_pH,6.606783299844475
358,Location 3,9,1,B_pH,6.687609493254789
359,Location 3,10,1,B_pH,6.611641913170305
360,Location 3,1,2,B_pH,6.91529548355472
361,Location 3,2,2,B_pH,6.857282693578971
362,Location 3,3,2,B_pH,6.8522483677745765
363,Location 3,4,2,B_pH,6.750653437692432
364,Location 3,5,2,B_pH,6.692443141685553
365,Location 3,6,2,B_pH,6.651191846032517
366,Location 3,7,2,B_pH,6.747895439339021
367,Location 3,8,2,B_pH,6.792298909331534
368,Location 3,9,2,B_pH,6.68997450934287
369,Location 3,10,2,B_pH,6.760381521930029
370,Location 3,1,3,B_pH,6.608568797435781
371,Location 3,2,3,B_pH,6.819548750955574
372,Location 3,3,3,B_pH,6.644833111903159
373,Location 3,4,3,B_pH,6.473719419641693
374,Location 3,5,3,B_pH,6.66216181233804
375,Location 3,6,3,B_pH,6.721424914998536
376,Location 3,7,3,B_pH,6.840927242180313
377,Location 3,8,3,B_pH,6.637811496206208
378,Location 3,9,3,B_pH,6.597706120000679
379,Location 3,10,3,B_pH,6.714449624663165
380,Location 3,1,4,B_pH,6.840270955088784
381,Location 3,2,4,B_pH,6.725038941716647
382,Location 3,3,4,B_pH,6.687074340792778
383,Location 3,4,4,B_pH,6.67975691485577
384,Location 3,5,4,B_pH,6.667041408848774
385,Location 3,6,4,B_pH,6.755999627156873
386,Location 3,7,4,B_pH,6.841464984855996
387,Location 3,8,4,B_pH,6.883887660795124
388,Location 3,9,4,B_pH,6.497398733946298
389,Location 3,10,4,B_pH,6.665835437929072
390,Location 3,1,5,B_pH,6.64829526515515
391,Location 3,2,5,B_pH,6.6223253043162105
392,Location 3,3,5,B_pH,6.8076233003110485
393,Location 3,4,5,B_pH,6.777840163500891
394,Location 3,5,5,B_pH,6.6812036213661985
395,Location 3,6,5,B_pH,6.478186578583749
396,Location 3,7,5,B_pH,6.650993115986018
397,Location 3,8,5,B_pH,6.751800598585507
398,Location 3,9,5,B_pH,6.6190916725114235
399,Location 3,10,5,B_pH,6.773185014130464
400,Location 4,1,1,B_pH,6.783597265571701
401,Location 4,2,1,B_pH,6.734064029445542
402,Location 4,3,1,B_pH,6.624174164854748
403,Location 4,4,1,B_pH,6.80935213840147
404,Location 4,5,1,B_pH,6.804929766291702
405,Location 4,6,1,B_pH,6.640619995467687
406,Location 4,7,1,B_pH,6.818943710239653
407,Location 4,8,1,B_pH,6.6503365088432576
408,Location 4,9,1,B_pH,6.763548670779553
409,Location 4,10,1,B_pH,6.8420330862149745
410,Location 4,1,2,B_pH,6.718478678934323
411,Location 4,2,2,B_pH,6.734326016823609
412,Location 4,3,2,B_pH,6.648278095220173
413,Location 4,4,2,B_pH,6.701141606051962
414,Location 4,5,2,B_pH,6.628658363452095
415,Location 4,6,2,B_pH,6.638902078515801
416,Location 4,7,2,B_pH,6.639506142271751
417,Location 4,8,2,B_pH,6.68391646440409
418,Location 4,9,2,B_pH,6.742900830258076
419,Location 4,10,2,B_pH,6.712780743368365
420,Location 4,1,3,B_pH,6.781755864197038
421,Location 4,2,3,B_pH,6.580447603992244
422,Location 4,3,3,B_pH,6.862363936669938
423,Location 4,4,3,B_pH,6.724472498007555
424,Location 4,5,3,B_pH,6.772661920680327
425,Location 4,6,3,B_pH,6.685245467214126
426,Location 4,7,3,B_pH,6.79465570528486
427,Location 4,8,3,B_pH,6.576926003332961
428,Location 4,9,3,B_pH,6.58808206969141
429,Location 4,10,3,B_pH,6.847729901660293
430,Location 4,1,4,B_pH,6.704550250636064
431,Location 4,2,4,B_pH,6.7670511787720535
432,Location 4,3,4,B_pH,6.672470332633453
433,Location 4,4,4,B_pH,6.768318039081545
434,Location 4,5,4,B_pH,6.854201203386597
435,Location 4,6,4,B_pH,6.73288099859033
436,Location 4,7,4,B_pH,6.791298493223597
437,Location 4,8,4,B_pH,6.776161122344433
438,Location 4,9,4,B_pH,6.8187649812413405
439,Location 4,10,4,B_pH,6.759821924930047
440,Location 4,1,5,B_pH,6.774712031166576
441,Location 4,2,5,B_pH,6.633845617780513
442,Location 4,3,5,B_pH,6.793798327788543
443,Location 4,4,5,B_pH,6.832223705796365
444,Location 4,5,5,B_pH,6.797996441198866
445,Location 4,6,5,B_pH,6.580718008016826
446,Location 4,7,5,B_pH,6.667325148448761
447,Location 4,8,5,B_pH,6.720494926104751
448,Location 4,9,5,B_pH,6.7687606308174795
449,Location 4,10,5,B_pH,6.702838212468316
450,Location 5,1,1,B_pH,6.727560824194357
451,Location 5,2,1,B_pH,6.694155746492277
452,Location 5,3,1,B_pH,6.690276257141015
453,Location 5,4,1,B_pH,6.762942303079584
454,Location 5,5,1,B_pH,6.76513989913613
455,Location 5,6,1,B_pH,6.662059811367039
456,Location 5,7,1,B_pH,6.757514814282528
457,Location 5,8,1,B_pH,6.948346692656858
458,Location 5,9,1,B_pH,6.706317452196469
459,Location 5,10,1,B_pH,6.65786343183002
460,Location 5,1,2,B_pH,6.756192865611259
461,Location 5,2,2,B_pH,6.800276759946844
462,Location 5,3,2,B_pH,6.853918920452186
463,Location 5,4,2,B_pH,6.578601987898787
464,Location 5,5,2,B_pH,6.6973337832942
465,Location 5,6,2,B_pH,6.709118858047491
466,Location 5,7,2,B_pH,6.609044919508206
467,Location 5,8,2,B_pH,6.671387816314332
468,Location 5,9,2,B_pH,6.69154868747578
469,Location 5,10,2,B_pH,6.753189992251744
470,Location 5,1,3,B_pH,6.705810845574053
471,Location 5,2,3,B_pH,6.8587192403241355
472,Location 5,3,3,B_pH,6.627746624983009
473,Location 5,4,3,B_pH,6.7624707998845714
474,Location 5,5,3,B_pH,6.60759327804433
475,Location 5,6,3,B_pH,6.796026267417821
476,Location 5,7,3,B_pH,6.77502300620351
477,Location 5,8,3,B_pH,6.573552957568327
478,Location 5,9,3,B_pH,6.73184901228236
479,Location 5,10,3,B_pH,6.752086825586401
480,Location 5,1,4,B_pH,6.763204700377492
481,Location 5,2,4,B_pH,6.716818446860117
482,Location 5,3,4,B_pH,6.784469468140201
483,Location 5,4,4,B_pH,6.839649789465331
484,Location 5,5,4,B_pH,6.669088370415423
485,Location 5,6,4,B_pH,6.845725245000477
486,Location 5,7,4,B_pH,6.594672970996152
487,Location 5,8,4,B_pH,6.645822385595461
488,Location 5,9,4,B_pH,6.635793508496338
489,Location 5,10,4,B_pH,6.755550311454006
490,Location 5,1,5,B_pH,6.761459590901788
491,Location 5,2,5,B_pH,6.616457081631781
492,Location 5,3,5,B_pH,6.761352760468367
493,Location 5,4,5,B_pH,6.791793817695902
494,Location 5,5,5,B_pH,6.583183541375617
495,Location 5,6,5,B_pH,6.804438759853254
496,Location 5,7,5,B_pH,6.801269103574473
497,Location 5,8,5,B_pH,6.694501116346218
498,Location 5,9,5,B_pH,6.822351655293256
499,Location 5,10,5,B_pH,6.665408902846707
500,Location 1,1,1,P,-1349.884263324651
501,Location 1,2,1,P,1256.4605745002284
502,Location 1,3,1,P,-112.64985112211149
503,Location 1,4,1,P,155.011276404886
504,Location 1,5,1,P,-510.3949199747605
505,Location 1,6,1,P,1312.1135935415064
506,Location 1,7,1,P,880.1606282094712
507,Location 1,8,1,P,-1405.9727135266617
508,Location 1,9,1,P,1687.0208766382511
509,Location 1,10,1,P,1383.0253661169804
510,Location 1,1,2,P,751.9732482981534
511,Location 1,2,2,P,-375.94711518458104
512,Location 1,3,2,P,-377.0570352488284
513,Location 1,4,2,P,1142.6129122812658
514,Location 1,5,2,P,352.4870901387112
515,Location 1,6,2,P,295.05743535260626
516,Location 1,7,2,P,1621.4639747406402
517,Location 1,8,2,P,680.4396494893751
518,Location 1,9,2,P,-3155.372187471932
519,Location 1,10,2,P,-704.6468608515465
520,Location 1,1,3,P,786.9455721043282
521,Location 1,2,3,P,-824.8166524960756
522,Location 1,3,3,P,771.9536189218983
523,Location 1,4,3,P,1139.8678805135228
524,Location 1,5,3,P,2542.125261659422
525,Location 1,6,3,P,332.81018844175907
526,Location 1,7,3,P,1181.777669868354
527,Location 1,8,3,P,2306.1713150309806
528,Location 1,9,3,P,584.7572496552797
529,Location 1,10,3,P,-2321.195109164311
530,Location 1,1,4,P,-693.0193237665463
531,Location 1,2,4,P,171.04046945495745
532,Location 1,3,4,P,-1100.2172382631152
533,Location 1,4,4,P,2260.876683342252
534,Location 1,5,4,P,-1295.8447817360557
535,Location 1,6,4,P,145.67973090162815
536,Location 1,7,4,P,-2856.576647667438
537,Location 1,8,4,P,1439.7763239669544
538,Location 1,9,4,P,-452.71318080373663
539,Location 1,10,4,P,2193.9763706391086
540,Location 1,1,5,P,1022.6178236064683
541,Location 1,2,5,P,-793.0866023775345
542,Location 1,3,5,P,2588.257270245288
543,Location 1,4,5,P,828.7944689635437
544,Location 1,5,5,P,-1344.6991940809125
545,Location 1,6,5,P,649.3372571432101
546,Location 1,7,5,P,2025.1302028856987
547,Location 1,8,5,P,-3047.2271574755378
548,Location 1,9,5,P,388.4355787792393
549,Location 1,10,5,P,468.7305412565504
550,Location 2,1,1,P,1044.0300348774604
551,Location 2,2,1,P,1040.2277014465105
552,Location 2,3,1,P,1633.1570489681437
553,Location 2,4,1,P,1002.2721600950337
554,Location 2,5,1,P,-1001.1318908308174
555,Location 2,6,1,P,613.4036723352211
556,Location 2,7,1,P,-189.19782257382008
557,Location 2,8,1,P,-1293.2373269244983
558,Location 2,9,1,P,-152.42871900814822
559,Location 2,10,1,P,1945.8653215202735
560,Location 2,1,2,P,-602.5965248233273
561,Location 2,2,2,P,-261.53893005588117
562,Location 2,3,2,P,1582.2884412072385
563,Location 2,4,2,P,-1022.8785328573717
564,Location 2,5,2,P,-1033.5395398787718
565,Location 2,6,2,P,-550.203481987959
566,Location 2,7,2,P,1529.1197996343155
567,Location 2,8,2,P,425.57272479255204
568,Location 2,9,2,P,-531.7055226464397
569,Location 2,10,2,P,245.06573783488295
570,Location 2,1,3,P,1487.4209923531355
571,Location 2,2,3,P,-1649.7170684318799
572,Location 2,3,3,P,-1325.0353007704693
573,Location 2,4,3,P,-101.42124280575938
574,Location 2,5,3,P,433.4233318037669
575,Location 2,6,3,P,1200.2450425984007
576,Location 2,7,3,P,-874.620914702446
577,Location 2,8,3,P,1184.1125585357981
578,Location 2,9,3,P,396.3428535399743
579,Location 2,10,3,P,-907.7314091468949
580,Location 2,1,4,P,-1784.0267579248712
581,Location 2,2,4,P,2522.305399701988
582,Location 2,3,4,P,-615.54690471381
583,Location 2,4,4,P,1388.955896705015
584,Location 2,5,4,P,2339.251799500559
585,Location 2,6,4,P,381.62787445132545
586,Location 2,7,4,P,2458.113623883874
587,Location 2,8,4,P,-1495.8949350466776
588,Location 2,9,4,P,-1223.8838571612973
589,Location 2,10,4,P,912.1463323740024
590,Location 2,1,5,P,741.3398233423243
591,Location 2,2,5,P,-727.079683600748
592,Location 2,3,5,P,612.6590394243293
593,Location 2,4,5,P,-1466.891495144718
594,Location 2,5,5,P,-60.16189208097009
595,Location 2,6,5,P,826.7748010346244
596,Location 2,7,5,P,-1258.6480621154474
597,Location 2,8,5,P,914.5842757642752
598,Location 2,9,5,P,687.7408658173958
599,Location 2,10,5,P,556.1604272194177
600,Location 3,1,1,P,-1904.5288042649
601,Location 3,2,1,P,-115.13616521020917
602,Location 3,3,1,P,69.05935684258488
603,Location 3,4,1,P,1133.228583965751
604,Location 3,5,1,P,-63.367577375211795
605,Location 3,6,1,P,-1090.9591640346455
606,Location 3,7,1,P,-1943.9879173282104
607,Location 3,8,1,P,-1110.0728353172951
608,Location 3,9,1,P,-1687.7545943704195
609,Location 3,10,1,P,1312.829748917728
610,Location 3,1,2,P,-2226.141966677941
